Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
296,0,0
296,1,0
296,2,0
296,3,0
296,4,0
296,5,0
296,6,0
296,7,0
296,8,0
296,9,0
297,0,0
297,1,0
297,2,0
297,3,0
297,4,0
297,5,0
297,6,0
297,7,0
297,8,0
297,9,0
298,0,0
298,1,0
298,2,0
298,3,0
298,4,0
298,5,0
298,6,0
298,7,0
298,8,0
298,9,0
299,0,0
299,1,0
299,2,0
299,3,0
299,4,0
299,5,0
299,6,0
299,7,0
299,8,0
299,9,0
300,0,0
300,1,0
300,2,0
300,3,0
300,4,0
300,5,0
300,6,0
300,7,0
300,8,0
300,9,0
301,0,0
301,1,0
301,2,0
301,3,0
301,4,0
301,5,0
301,6,0
301,7,0
301,8,0
301,9,0
302,0,0
302,1,0
302,2,0
302,3,0
302,4,0
302,5,0
302,6,0
302,7,0
302,8,0
302,9,0
303,0,0
303,1,0
303,2,0
303,3,0
303,4,0
303,5,0
303,6,0
303,7,0
303,8,0
303,9,0
304,0,0
304,1,0
304,2,0
304,3,0
304,4,0
304,5,0
304,6,0
304,7,0
304,8,0
304,9,0
305,0,0
305,1,0
305,2,0
305,3,0
305,4,0
305,5,0
305,6,0
305,7,0
305,8,0
305,9,0
306,0,0
306,1,0
306,2,0
306,3,0
306,4,0
306,5,0
306,6,0
306,7,0
306,8,0
306,9,0
307,0,0
307,1,0
307,2,0
307,3,0
307,4,0
307,5,0
307,6,0
307,7,0
307,8,0
307,9,0
308,0,0
308,1,0
308,2,0
308,3,0
308,4,0
308,5,0
308,6,0
308,7,0
308,8,0
308,9,0
309,0,0
309,1,0
309,2,0
309,3,0
309,4,0
309,5,0
309,6,0
309,7,0
309,8,0
309,9,0
310,0,0
310,1,0
310,2,0
310,3,0
310,4,0
310,5,0
310,6,0
310,7,0
310,8,0
310,9,0
311,0,0
311,1,0
311,2,0
311,3,0
311,4,0
311,5,0
311,6,0
311,7,0
311,8,0
311,9,0
312,0,0
312,1,0
312,2,0
312,3,0
312,4,0
312,5,0
312,6,0
312,7,0
312,8,0
312,9,0
313,0,0
313,1,0
313,2,0
313,3,0
313,4,0
313,5,0
313,6,0
313,7,0
313,8,0
313,9,0
314,0,0
314,1,0
314,2,0
314,3,-27.482
314,4,-36.645
314,5,-59.7223
314,6,-95.3564
314,7,-138.117
314,8,-181.387
314,9,-205.143
315,0,-215.494
315,1,-213.458
315,2,-206.162
315,3,-201.919
315,4,-193.435
315,5,-188.514
315,6,-181.896
315,7,-180.539
315,8,-184.781
315,9,-184.442
316,0,-191.569
316,1,-191.738
316,2,-192.926
316,3,-200.223
316,4,-200.562
316,5,-204.974
316,6,-207.18
316,7,-208.198
316,8,-210.913
316,9,-211.252
317,0,-210.573
317,1,-214.476
317,2,-213.458
317,3,-212.101
317,4,-212.61
317,5,-213.458
317,6,-216.173
317,7,-216.003
317,8,-215.325
317,9,-213.628
318,0,-214.816
318,1,-214.985
318,2,-216.173
318,3,-213.797
318,4,-214.646
318,5,-215.664
318,6,-211.082
318,7,-212.44
318,8,-214.985
318,9,-212.101
319,0,-211.931
319,1,-209.895
319,2,-211.422
319,3,-209.046
319,4,-210.743
319,5,-211.252
319,6,-214.476
319,7,-214.816
319,8,-214.816
319,9,-215.155
320,0,-217.531
320,1,-218.04
320,2,-222.451
320,3,-223.639
320,4,-229.239
320,5,-230.087
320,6,-231.784
320,7,-236.366
320,8,-238.232
320,9,-245.698
321,0,-253.334
321,1,-256.558
321,2,-264.194
321,3,-269.285
321,4,-276.412
321,5,-287.102
321,6,-293.211
321,7,-299.15
321,8,-310.179
321,9,-314.421
322,0,-320.021
322,1,-325.79
322,2,-329.863
322,3,-336.141
322,4,-337.159
322,5,-342.759
322,6,-348.528
322,7,-349.886
322,8,-350.734
322,9,-357.182
323,0,-359.558
323,1,-362.103
323,2,-368.212
323,3,-374.83
323,4,-377.714
323,5,-378.902
323,6,-386.029
323,7,-391.459
323,8,-398.755
323,9,-403.167
324,0,-408.258
324,1,-416.233
324,2,-417.76
324,3,-424.039
324,4,-427.602
324,5,-437.953
324,6,-440.668
324,7,-447.116
324,8,-451.188
324,9,-455.431
325,0,-462.048
325,1,-467.478
325,2,-471.042
325,3,-476.132
325,4,-479.526
325,5,-485.465
325,6,-486.144
325,7,-494.119
325,8,-495.307
325,9,-496.834
326,0,-505.997
326,1,-504.979
326,2,-511.597
326,3,-514.99
326,4,-517.027
326,5,-521.269
326,6,-522.626
326,7,-527.717
326,8,-527.208
326,9,-529.244
327,0,-531.959
327,1,-533.317
327,2,-537.728
327,3,-540.104
327,4,-541.122
327,5,-542.31
327,6,-541.971
327,7,-547.231
327,8,-545.025
327,9,-549.097
328,0,-551.303
328,1,-550.964
328,2,-553
328,3,-555.036
328,4,-555.376
328,5,-557.582
328,6,-558.091
328,7,-556.903
328,8,-559.279
328,9,-560.806
329,0,-562.333
329,1,-561.993
329,2,-563.012
329,3,-563.012
329,4,-565.218
329,5,-562.163
329,6,-565.727
329,7,-562.163
329,8,-561.993
329,9,-563.181
330,0,-564.369
330,1,-560.127
330,2,-561.484
330,3,-558.6
330,4,-561.824
330,5,-561.654
330,6,-560.466
330,7,-557.412
330,8,-563.69
330,9,-561.824
331,0,-560.466
331,1,-558.769
331,2,-556.903
331,3,-558.769
331,4,-557.242
331,5,-554.018
331,6,-559.618
331,7,-554.358
331,8,-553
331,9,-554.188
332,0,-554.697
332,1,-553.339
332,2,-551.134
332,3,-553.509
332,4,-549.097
332,5,-551.303
332,6,-551.643
332,7,-550.115
332,8,-549.097
332,9,-547.061
333,0,-548.079
333,1,-547.231
333,2,-546.213
333,3,-545.534
333,4,-545.873
333,5,-542.649
333,6,-540.443
333,7,-544.685
333,8,-542.649
333,9,-540.613
334,0,-541.122
334,1,-539.934
334,2,-537.389
334,3,-537.219
334,4,-537.559
334,5,-536.541
334,6,-535.013
334,7,-533.147
334,8,-532.298
334,9,-532.638
335,0,-530.432
335,1,-529.074
335,2,-531.62
335,3,-526.529
335,4,-525.681
335,5,-523.984
335,6,-524.323
335,7,-520.251
335,8,-520.081
335,9,-516.857
336,0,-516.348
336,1,-513.633
336,2,-514.481
336,3,-512.445
336,4,-513.633
336,5,-507.864
336,6,-506.676
336,7,-505.149
336,8,-502.773
336,9,-499.549
337,0,-500.058
337,1,-497.004
337,2,-498.701
337,3,-494.967
337,4,-492.931
337,5,-491.404
337,6,-493.44
337,7,-487.841
337,8,-488.859
337,9,-487.162
338,0,-484.956
338,1,-482.241
338,2,-484.786
338,3,-482.071
