Devices
1000
,,AMTI7377 - Force,
Frame,Sub Frame,Fz
,,N
268,0,0
268,1,0
268,2,0
268,3,0
268,4,0
268,5,0
268,6,0
268,7,0
268,8,0
268,9,0
269,0,0
269,1,0
269,2,0
269,3,0
269,4,0
269,5,0
269,6,0
269,7,0
269,8,0
269,9,0
270,0,0
270,1,0
270,2,0
270,3,0
270,4,0
270,5,0
270,6,0
270,7,0
270,8,0
270,9,0
271,0,0
271,1,0
271,2,0
271,3,0
271,4,0
271,5,0
271,6,0
271,7,0
271,8,0
271,9,0
272,0,0
272,1,0
272,2,0
272,3,0
272,4,0
272,5,0
272,6,0
272,7,0
272,8,0
272,9,0
273,0,0
273,1,0
273,2,0
273,3,0
273,4,0
273,5,0
273,6,0
273,7,0
273,8,0
273,9,0
274,0,0
274,1,0
274,2,0
274,3,0
274,4,0
274,5,0
274,6,0
274,7,0
274,8,0
274,9,0
275,0,0
275,1,0
275,2,0
275,3,0
275,4,0
275,5,0
275,6,0
275,7,0
275,8,0
275,9,0
276,0,0
276,1,0
276,2,0
276,3,0
276,4,0
276,5,0
276,6,0
276,7,0
276,8,0
276,9,0
277,0,0
277,1,0
277,2,0
277,3,0
277,4,0
277,5,0
277,6,0
277,7,0
277,8,0
277,9,0
278,0,0
278,1,0
278,2,0
278,3,0
278,4,0
278,5,0
278,6,0
278,7,0
278,8,0
278,9,0
279,0,0
279,1,0
279,2,0
279,3,0
279,4,0
279,5,0
279,6,0
279,7,0
279,8,0
279,9,0
280,0,0
280,1,0
280,2,0
280,3,0
280,4,0
280,5,0
280,6,0
280,7,0
280,8,0
280,9,0
281,0,0
281,1,0
281,2,0
281,3,0
281,4,0
281,5,0
281,6,0
281,7,0
281,8,0
281,9,0
282,0,0
282,1,0
282,2,0
282,3,0
282,4,0
282,5,0
282,6,0
282,7,0
282,8,0
282,9,0
283,0,0
283,1,0
283,2,0
283,3,0
283,4,0
283,5,0
283,6,0
283,7,0
283,8,0
283,9,0
284,0,0
284,1,0
284,2,0
284,3,0
284,4,0
284,5,0
284,6,0
284,7,0
284,8,0
284,9,0
285,0,0
285,1,0
285,2,0
285,3,0
285,4,0
285,5,0
285,6,0
285,7,0
285,8,0
285,9,0
286,0,0
286,1,0
286,2,0
286,3,0
286,4,0
286,5,0
286,6,0
286,7,0
286,8,0
286,9,0
287,0,0
287,1,0
287,2,0
287,3,0
287,4,0
287,5,0
287,6,0
287,7,0
287,8,0
287,9,0
288,0,0
288,1,0
288,2,0
288,3,0
288,4,0
288,5,0
288,6,0
288,7,0
288,8,0
288,9,0
289,0,0
289,1,0
289,2,0
289,3,0
289,4,0
289,5,0
289,6,0
289,7,0
289,8,0
289,9,0
290,0,0
290,1,0
290,2,-25.7851
290,3,-26.1245
290,4,-29.5182
290,5,-31.2151
290,6,-34.2694
290,7,-36.136
290,8,-43.9415
290,9,-46.8262
291,0,-53.6136
291,1,-58.1952
291,2,-73.2972
291,3,-94.508
291,4,-116.567
291,5,-144.735
291,6,-172.224
291,7,-196.489
291,8,-215.494
291,9,-221.773
292,0,-227.033
292,1,-226.694
292,2,-219.567
292,3,-217.531
292,4,-208.877
292,5,-203.786
292,6,-202.259
292,7,-197.847
292,8,-203.447
292,9,-199.204
293,0,-201.75
293,1,-207.519
293,2,-205.652
293,3,-212.44
293,4,-217.7
293,5,-220.415
293,6,-226.524
293,7,-229.918
293,8,-235.348
293,9,-240.099
294,0,-243.323
294,1,-249.432
294,2,-250.619
294,3,-253.165
294,4,-256.898
294,5,-260.8
294,6,-263.685
294,7,-266.909
294,8,-266.23
294,9,-268.945
295,0,-272.848
295,1,-274.545
295,2,-278.448
295,3,-276.072
295,4,-280.145
295,5,-281.502
295,6,-283.878
295,7,-286.593
295,8,-288.629
295,9,-291.005
296,0,-291.174
296,1,-295.586
296,2,-300.337
296,3,-302.034
296,4,-307.294
296,5,-311.197
296,6,-314.252
296,7,-317.815
296,8,-321.718
296,9,-324.772
297,0,-328.336
297,1,-330.202
297,2,-334.105
297,3,-335.293
297,4,-339.195
297,5,-343.268
297,6,-350.395
297,7,-351.922
297,8,-355.146
297,9,-366.854
298,0,-374.321
