Model Outputs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;KatjaK:LANA;;;KatjaK:LAbsAnkleAngle;;;KatjaK:LAnkleAngles;;;KatjaK:LAnkleForce;;;KatjaK:LAnkleMoment;;;KatjaK:LAnklePower;;;KatjaK:LFE;;;;;;;;;KatjaK:LFETBA;;;KatjaK:LFO;;;;;;;;;KatjaK:LFTA;;;KatjaK:LFootProgressAngles;;;KatjaK:LHDF0;;;KatjaK:LHJC;;;KatjaK:LHPA;;;KatjaK:LHipAngles;;;KatjaK:LHipForce;;;KatjaK:LHipMoment;;;KatjaK:LHipPower;;;KatjaK:LKNA;;;KatjaK:LKneeAngles;;;KatjaK:LKneeForce;;;KatjaK:LKneeMoment;;;KatjaK:LKneePower;;;KatjaK:LPelvisAngles;;;KatjaK:LTI;;;;;;;;;KatjaK:LTO;;;;;;;;;KatjaK:PEL;;;;;;;;;KatjaK:PELAng;;;KatjaK:RAJC;;;KatjaK:RANA;;;KatjaK:RAbsAnkleAngle;;;KatjaK:RAnkleAngles;;;KatjaK:RAnkleForce;;;KatjaK:RAnkleMoment;;;KatjaK:RAnklePower;;;KatjaK:RArchHeight;;;KatjaK:RArchHeightIndex;KatjaK:RD1M0;;;KatjaK:RFE;;;;;;;;;KatjaK:RFETBA;;;KatjaK:RFFHFA;;;KatjaK:RFFTBA;;;KatjaK:RFO;;;;;;;;;KatjaK:RFOF0;;;KatjaK:RFOF1;;;KatjaK:RFOF2;;;KatjaK:RFOF3;;;KatjaK:RFTA;;;KatjaK:RFootProgressAngles;;;KatjaK:RHDF0;;;KatjaK:RHDF1;;;KatjaK:RHDF2;;;KatjaK:RHDF3;;;KatjaK:RHFTBA;;;KatjaK:RHFTFL;;;KatjaK:RHJC;;;KatjaK:RHLX0;;;KatjaK:RHLX1;;;KatjaK:RHLX2;;;KatjaK:RHLX3;;;KatjaK:RHPA;;;KatjaK:RHXFFA;;;KatjaK:RHipAngles;;;KatjaK:RHipForce;;;KatjaK:RHipMoment;;;KatjaK:RHipPower;;;KatjaK:RKNA;;;KatjaK:RKneeAngles;;;KatjaK:RKneeForce;;;KatjaK:RKneeMoment;;;KatjaK:RKneePower;;;KatjaK:RPROXFF;;;KatjaK:RPelvisAngles;;;KatjaK:RTI;;;;;;;;;KatjaK:RTIB1;;;KatjaK:RTIB2;;;KatjaK:RTIB3;;;KatjaK:RTIBA;;;KatjaK:RTO;;;;;;;;
Frame;Sub Frame;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;X;Y;Z;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;RX;RY;RZ;TX;TY;TZ;SX;SY;SZ
;;deg;deg;deg;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;deg;deg;deg;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;mm;mm;mm;mm;mm;mm;mm;deg;deg;deg;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;deg;deg;deg;deg;deg;deg;N/kg;N/kg;N/kg;N.mm/kg;N.mm/kg;N.mm/kg;W/kg;W/kg;W/kg;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;mm;deg;deg;deg;deg;deg;deg;mm;mm;mm;mm;mm;mm
250;0;120.689;452.053;-213.765;112.245;0;0;120.528;514.301;-212.212;;;;;;;;;;-342.061;-0.0989968;221.433;340.098;990.798;472.936;410.199;410.199;410.199;-136.658;165.898;-344.031;-646.216;-725.787;-578.221;330.715;925.938;691.546;181.515;181.515;181.515;-916.285;428.383;-107.276;-916.348;365.065;-105.853;293.397;1100.42;403.001;234.19;946.873;866.512;125.016;-147.049;399.555;126.304;-147.413;39.928;;;;;;;;;;-136.658;165.898;-344.031;-136.714;166.328;-343.943;;;;;;;;;;880.972;0.416345;453.433;0.651458;121.951;-101.262;296.188;1050.91;781.359;383.757;383.757;383.757;-646.216;-725.786;-578.221;341.829;866.487;708.514;60.505;60.505;60.505;705.611;695.021;-943.609;274.018;943.75;866.504;805.707;805.707;805.706;880.972;0.416345;453.433;216.574;897.34;141.223;949.394;-184.661;114.966;930.989;0;0;949.732;-257.456;113.506;;;;;;;;;;0;0;168.177;168.177;205.638;797.27;66.406;-329.082;-0.995914;-737.722;184.835;763.272;495.619;430.776;430.776;430.776;446.818;271.564;-333.165;110.861;-406.183;392.617;136.506;79.319;598.011;143.345;864.123;165.357;138.517;796.64;961.568;186.214;186.214;186.214;152.926;809.8;681.441;152.898;802.814;117.654;198.322;789.045;652.412;131.969;764.85;61.79;-771.971;-152.301;-215.596;-772.065;-0.805152;-217.252;229.477;981.282;117.717;229.098;964.151;164.689;276.14;964.289;111.897;211.519;937.49;101.601;246.285;121.639;-0.299735;-202.043;21.049;0.466209;313.838;940.542;866.117;185.348;777.153;631.201;184.9;769.534;112.534;220.782;742.241;580.589;150.074;742.18;574.078;355.494;-151.798;224.536;-0.915566;-200.929;0.13847;355.467;-152.148;224.205;;;;;;;;;;446.818;271.564;-333.165;44.694;271.548;-332.842;;;;;;;;;;176.975;861.379;754.356;880.972;-0.416345;-453.433;-282.259;-423.256;229.713;198.877;909.339;134.001;372.256;372.256;372.256;189.239;858.899;124.637;258.402;871.414;132.378;202.173;747.654;511.88;259.771;450.383;-248.159;143.345;864.123;165.357;115.541;740.409;833.882;620.712;620.712;620.712
251;0;125.718;473.286;-214.676;116.854;0;0;125.602;517.771;-213.531;;;;;;;;;;-352.569;-192.925;221.345;340.051;986.027;472.662;410.523;410.523;410.523;-139.523;164.835;-339.897;-64.532;-723.617;-578.298;330.428;925.85;68.884;181.515;181.515;181.515;-914.256;423.612;-106.907;-914.302;378.247;-105.891;293.341;1100.35;403.711;233.315;934.994;865.495;0.416759;-149.906;401.983;0.430011;-150.268;40.171;;;;;;;;;;-139.523;164.835;-339.897;-139.578;165.265;-339.809;;;;;;;;;;890.565;0.159855;405.327;108.744;128.158;-101.396;295.921;1050.79;783.367;384.038;384.038;384.038;-64.532;-723.617;-578.298;341.546;866.394;703.685;60.505;60.505;60.505;693.961;718.627;-938.574;273.17;932.23;865.357;805.706;805.707;805.707;890.565;0.159855;405.327;215.467;859.751;133.263;-35.671;-0.86175;-135.811;-352.251;0;0;-361.024;306.587;-126.507;;;;;;;;;;0;0;657.993;657.993;150.537;868.232;925.352;-333.656;-10.462;-72.854;183.764;748.45;496.18;430.796;430.796;430.796;406.783;277.661;-336.102;-100.616;903.337;-148.435;-103.446;-205.396;-159.489;141.367;355.237;174.064;983.409;796.038;767.529;186.214;186.214;186.214;136.303;786.801;725.063;153.252;795.221;262.266;109.263;828.798;702.444;978.112;761.006;537.161;-64.918;631.827;-444.017;-649.758;233.815;-434.922;226.364;941.475;104.417;226.335;927.14;152.318;273.377;925.159;995.633;209.342;896.438;909.286;217.498;112.518;-0.954829;-166.727;199.037;0.0360058;313.015;929.38;864.84;184.474;733.403;620.352;178.754;721.078;110.154;232.694;743.65;703.917;196.395;686.041;513.215;360.439;-152.451;228.513;172.354;-661.858;152.136;360.411;-15.28;228.176;;;;;;;;;;406.783;277.661;-336.102;40.691;277.672;-335.776;;;;;;;;;;172.12;810.803;899.911;890.565;-0.159855;-405.327;-252.825;-350.247;233.766;197.771;870.381;125.368;372.595;372.595;372.595;189.65;819.373;119.013;258.249;834.729;126.654;201.115;734.913;513.012;22.382;439.236;-234.661;141.367;355.237;174.064;55.62;755.234;577.048;620.712;620.712;620.712
252;0;131.874;499.446;-215.733;122.488;0;0;131.816;521.892;-215.094;;;;;;;;;;-363.162;-404.809;221.304;340.165;981.406;472.722;410.438;410.438;410.438;-143.131;162.489;-336.914;-643.669;-723.201;-575.797;330.585;925.786;689.913;181.515;181.515;181.515;-913.466;415.524;-108.863;-913.489;392.449;-108.353;293.273;1100.3;40.484;233.179;922.39;864.279;-0.678912;-149.903;401.604;-0.665175;-150.265;401.334;;;;;;;;;;-143.131;162.489;-336.914;-143.186;162.924;-33.683;;;;;;;;;;890.045;0.120104;375.067;148.664;134.127;-101.329;295.573;1050.57;78.652;384.571;384.572;384.572;-643.669;-723.202;-575.798;341.959;866.376;703.902;60.505;60.505;60.505;691.684;718.861;-935.528;273.048;919.838;864.147;805.707;805.707;805.707;890.045;0.120104;375.067;212.807;822.026;125.214;87.676;-118.953;811.842;868.637;0;0;877.252;-177.686;800.492;;;;;;;;;;0;0;15.584;15.584;203.259;710.27;620.435;-335.982;-0.999197;-722.003;183.303;734.248;495.61;431.214;431.214;431.214;364.602;278.289;-339.946;109.042;-584.941;38.889;305.444;336.967;320.375;144.938;938.451;153.94;137.002;714.573;927.403;186.214;186.214;186.214;150.391;722.751;623.987;150.482;721.714;112.388;195.889;702.022;618.858;129.656;677.262;614.926;-841.658;-137.661;-210.149;-841.731;-0.798343;-211.483;223.512;900.804;913.667;223.604;889.45;140.06;270.776;884.936;875.772;207.198;854.768;806.631;189.175;10.182;-112.855;-13.089;190.429;-0.111771;312.908;917.2;863.636;183.956;689.771;618.629;184.252;689.052;111.857;220.356;655.5;611.537;149.678;653.371;615.423;362.529;-15.407;232.586;0.450437;-187.796;-0.0669266;36.25;-154.418;232.245;;;;;;;;;;364.602;278.289;-339.946;364.726;278.331;-339.622;;;;;;;;;;174.245;775.081;634.411;890.045;-0.120104;-375.067;-214.886;-277.011;237.444;196.167;831.629;116.698;373.436;373.436;373.436;188.438;779.947;113.575;256.435;798.053;120.537;199.655;722.543;512.422;186.751;400.491;-227.162;144.939;938.451;153.94;114.608;656.981;868.631;620.712;620.712;620.712
253;0;135.798;497.721;-208.079;126.801;0;0;13.579;502.838;-207.839;;;;;;;;;;-373.695;-58.889;221.585;339.727;976.393;472.199;410.686;410.686;410.686;-144.661;16.105;-339.571;-641.004;-722.593;-574.613;330.581;925.108;687.381;181.515;181.515;181.515;-911.668;404.201;-110.679;-911.673;398.675;-110.567;293.221;1100.19;405.868;232.578;910.101;862.806;-156.216;-15.102;40.145;-154.806;-151.382;401.185;;;;;;;;;;-144.661;16.105;-339.571;-144.716;161.487;-339.489;;;;;;;;;;891.461;-0.0278913;311.166;202.354;139.009;-100.362;295.102;1049.73;78.809;384.648;384.648;384.648;-641.004;-722.593;-574.613;342.184;865.738;699.478;60.505;605.051;605.051;68.365;726.355;-929.034;272.473;908.004;862.641;805.706;805.707;805.707;891.461;-0.0278913;311.166;210.325;783.199;117.691;829.933;-0.924833;673.468;824.854;0;0;830.455;-145.426;66.343;;;;;;;;;;0;0;153.833;153.833;202.36;667.285;614.475;-33.714;-0.874222;-713.176;182.744;721.315;494.258;431.721;431.721;431.721;31.912;277.556;-346.926;107.081;-569.339;336.197;307.463;335.363;321.626;145.424;977.989;148.162;136.515;673.786;920.908;186.214;186.214;186.214;149.413;679.183;608.704;149.266;680.953;110.839;195.163;659.028;617.189;129.241;633.459;62.431;-876.687;-130.521;-204.216;-876.752;-0.784125;-20.542;220.603;859.336;796.982;220.207;851.084;129.011;268.059;843.748;774.703;204.861;812.55;717.431;135.182;887.069;-0.669671;-964.972;183.505;0.477358;312.36;905.822;862.096;183.128;646.496;627.726;183.599;649.242;112.695;219.863;612.61;642.901;149.211;609.832;651.095;362.928;-156.359;23.543;137.745;-189.235;-0.20728;362.899;-156.704;235.089;;;;;;;;;;31.912;277.556;-346.926;319.238;277.633;-346.609;;;;;;;;;;172.644;731.841;590.732;891.461;0.0278913;-311.166;-170.734;-199.211;240.903;194.415;792.707;108.882;374.106;374.106;374.106;187.484;739.593;108.924;254.778;760.488;114.833;198.411;710.398;510.83;147.346;367.844;-224.302;145.424;977.989;148.161;114.735;615.709;89.733;620.712;620.712;620.712
254;0;140.488;500.876;-201.772;131.729;0;0;14.053;487.526;-201.956;-0.154911;-0.00306318;-0.0206292;-13.212;3,07E-10;-0.473994;0;0;0.010713;-387.043;-761.286;222.025;339.412;971.291;471.865;411.116;411.116;411.116;-146.199;160.962;-338.915;-638.325;-722.492;-572.881;330.713;924.51;685.804;181.515;181.515;181.515;-910.313;39.131;-112.926;-910.299;404.466;-113.237;293.117;1100.09;407.178;231.476;897.663;861.391;-234.289;-152.813;40.236;-232.849;-153.174;40.21;-0.61634;0.273417;133.378;205.982;301.879;-161.359;0;0;0.219643;-146.199;160.962;-338.915;-146.253;16.14;-338.836;-0.202251;-0.039266;0.636941;-42.383;-486.014;-0.447236;0;0;-0.00719193;894.818;-0.124162;213.092;255.759;144.039;-994.935;294.668;1048.94;78.964;384.992;384.992;384.992;-638.325;-722.493;-572.882;342.593;865.192;696.467;60.505;605.051;60.505;683.046;72.887;-919.161;271.401;896.252;861.265;805.706;805.707;805.707;894.818;-0.124162;213.092;206.539;744.117;111.111;775.736;-0.844647;659.409;771.267;0;0;776.262;-141.869;648.268;-0.00695417;-0.892685;-0.118137;-706.358;3,01E-10;863.827;0;0;-0.158147;0;0;37.97;37.97;159.567;676.654;114.001;-337.043;-0.757451;-704.026;182.133;709.005;492.282;432.671;432.671;432.671;27.135;27.276;-370.398;163.508;190.109;-658.305;243.649;314.727;400.225;145.766;101.178;142.25;135.044;632.768;929.097;186.214;186.214;186.214;146.105;692.105;823.951;184.709;673.317;567.679;158.256;663.572;121.616;175.466;728.614;998.591;-912.538;-130.901;-200.263;-912.607;-0.743085;-201.571;217.57;817.624;691.233;217.207;812.503;118.859;265.137;802.266;678.891;202.167;770.317;641.403;0.843168;87.386;-0.700052;-601.298;179.423;0.437128;311.32;894.755;860.758;182.375;603.732;65.447;147.292;577.045;890.471;215.699;590.861;100.431;194.972;563.456;386.296;361.909;-160.337;23.588;129.104;574.941;-304.551;36.188;-160.679;235.541;0.0242977;-103.246;0.941666;307.414;633.538;-126.382;0;0;0.391498;27.135;27.276;-370.398;271.458;272.874;-37.009;0.109295;-0.826319;0.579259;62.235;323.507;856.631;0;0;-0.658133;132.054;674.633;740.375;894.818;0.124162;-213.092;-114.719;-116.947;242.562;192.132;752.896;102.231;374.64;374.64;374.64;184.106;699.779;105.55;251.206;721.689;109.735;196.345;699.431;508.477;106.764;315.304;-226.614;145.766;101.178;142.25;113.655;574.513;941.917;620.712;620.712;620.712
255;0;144.482;50.183;-19.601;135.975;0;0;144.564;473.535;-196.541;-0.140564;-0.00106383;0.0013163;-116.501;3,53E-11;-0.401788;0;0;0.0103693;-398.423;-949.829;222.338;339.106;966.198;471.474;411.094;411.094;411.094;-147.203;159.825;-337.917;-635.736;-721.469;-57.267;330.743;924.035;684.209;181.515;181.515;181.515;-908.083;380.013;-114.056;-908.054;408.287;-114.709;293.018;1100.02;408.289;231.207;885.194;859.522;-325.376;-153.026;398.937;-323.902;-153.389;398.686;-0.176749;0.305206;133.411;551.849;632.872;-473.576;0;0;0.0129218;-147.203;159.825;-337.917;-147.257;160.265;-337.843;-0.0164431;-0.0680984;0.551505;-10.981;-675.442;-0.346967;0;0;0.000869791;90.101;-0.163957;17.069;311.548;149.209;-987.759;294.386;1048.34;793.006;385.17;385.17;385.17;-635.736;-721.468;-57.267;342.775;864.745;692.543;60.505;605.051;605.051;686.655;73.362;-914.872;271.142;884.08;859.413;805.707;805.707;805.706;90.101;-0.163957;17.069;202.422;706.898;105.798;739.889;-101.203;819.951;733.056;0;0;740.374;-178.541;804.112;-0.595636;0.300383;-0.051857;-304.991;-7,11E-10;301.748;0;0;-0.114475;0;0;14.821;14.821;199.455;582.565;665.418;-336.815;-0.625182;-698.809;181.781;696.677;489.849;433.407;433.407;433.407;223.738;263.342;-409.494;108.136;-570.031;380.786;303.722;331.913;314.468;145.995;104.16;135.867;132.935;591.241;955.513;186.214;186.214;186.214;146.316;593.745;639.943;145.729;602.185;113.273;192.245;574.365;678.602;126.563;548.433;715.195;-951.571;-147.358;-197.965;-951.664;-0.708982;-199.732;214.76;775.829;594.689;214.349;774.006;109.434;262.362;760.53;593.033;199.467;728.262;576.078;0.330422;102.733;-0.542559;-224.062;178.108;0.495759;311.071;882.88;858.924;180.866;561.847;702.896;180.672;570.916;119.46;218.346;529.329;764.346;147.772;524.965;769.618;361.634;-162.337;23.741;0.89086;-181.649;-0.131528;361.604;-162.678;237.072;0.679508;-0.487506;182.038;-145.527;649.861;512.863;0;0;-0.0296338;223.738;263.342;-409.494;223.829;263.491;-409.197;-0.339489;0.127679;128.301;-381.141;-511.682;303.184;0;0;0.0148544;169.068;645.937;553.264;90.101;0.163957;-17.069;-521.837;-323.517;241.783;189.631;711.91;966.593;375.563;375.563;375.563;178.89;662.835;103.623;246.527;683.346;105.768;194.435;691.445;505.419;695.946;26.332;-227.304;145.995;104.16;135.867;111.732;533.14;100.805;620.712;620.712;620.712
256;0;148.861;501.311;-189.434;140.666;0;0;148.982;457.586;-190.321;-0.14521;-0.0228356;-0.01892;-120.197;-1,26E-11;-139.371;0;0;0.0106642;-411.732;-112.667;222.985;338.726;960.799;471.029;411.016;411.016;411.016;-146.576;159.791;-33.333;-633.403;-720.591;-572.936;330.858;923.506;682.752;181.515;181.515;181.515;-90.602;364.946;-114.755;-905.975;408.815;-115.762;292.946;1099.96;409.731;230.878;872.52;857.42;-41.428;-152.814;394.015;-412.775;-153.178;393.775;0.0759808;0.0638975;150.476;-140.077;-406.976;-880.463;0;0;0.0124606;-146.576;159.791;-33.333;-146.631;160.233;-333.262;-0.0150766;-0.221065;0.520204;-135.571;-418.176;-127.405;0;0;0.00301551;90.202;-0.131042;105.465;374.253;154.344;-980.138;294.275;1047.7;796.074;385.408;385.408;385.408;-633.403;-720.591;-572.935;343;864.235;688.934;60.505;605.051;60.505;693.133;726.795;-908.388;270.823;871.85;857.404;805.707;805.707;805.707;90.202;-0.131042;105.465;197.742;670.573;101.74;72.875;-131.441;107.171;716.827;0;0;729.081;-236.844;104.928;-0.358027;-0.221555;-0.0769702;-376.354;-2,73E-10;21.686;0;0;-0.0917095;0;0;151.691;151.691;197.925;541.885;723.272;-336.085;-0.552028;-695.684;181.568;684.742;487.08;434.173;434.173;434.173;178.957;250.052;-451.779;105.576;-550.131;427.876;29.751;329.167;305.937;146.14;107.358;129.186;130.832;550.882;100.367;186.214;186.214;186.214;144.815;552.396;688.169;143.977;564.371;117.354;190.91;533.789;742.035;125.462;507.559;795.449;-992.211;-178.468;-192.889;-992.346;-0.74041;-195.304;211.915;734.24;510.175;211.753;736.096;100.983;259.587;719.18;517.312;196.838;686.599;527.382;0.399581;126.062;-0.363542;206.847;175.498;0.194373;310.765;871.096;857.009;179.427;521.387;772.401;178.749;533.618;125.716;217.002;489.531;85.803;146.447;484.842;859.993;359.894;-166.003;235.233;0.366197;-184.942;-0.0553199;359.865;-166.341;23.49;0.0989265;-0.783251;156.212;226.335;276.151;-680.152;0;0;0.140831;178.957;250.052;-451.779;179.028;250.234;-451.498;-0.351784;-0.36532;0.995886;-429.232;167.907;221.867;0;0;-0.747823;167.114;604.058;564.562;90.202;0.131042;-105.465;0.741853;483.039;239.781;186.604;671.752;928.359;376.49;376.49;376.49;172.629;627.352;102.845;240.973;645.49;103.121;192.628;683.773;501.489;337.433;19.367;-232.939;146.14;107.358;129.186;110.081;493.141;109.755;620.712;620.712;620.712
257;0;154.986;509.099;-184.149;146.911;0;0;155.159;445.309;-18.55;-0.15752;-0.0170568;0.0397344;-118.971;1,95E-10;0.0458803;0;0;0.00945899;-427.454;-129.313;223.994;337.852;954.941;470.333;411.212;411.212;411.212;-143.707;161.106;-322.839;-63.133;-720.457;-572.982;330.848;923.174;682.089;181.515;181.515;181.515;-904.673;341.656;-115.489;-904.612;405.804;-116.955;292.81;1099.87;411.422;230.018;859.355;855.196;-502.182;-153.651;384.946;-500.651;-154.017;384.725;-0.34693;0.275436;169.854;124.178;613.397;-437.592;0;0;0.0947111;-143.707;161.106;-322.839;-14.376;161.548;-32.278;-0.0875074;-0.0390312;0.769568;-109.825;-863.069;0.163731;0;0;0.00293515;903.745;-0.184305;0.38066;44.677;159.975;-97.384;293.999;1047.26;798.314;385.655;385.655;385.655;-63.133;-720.457;-572.982;343.113;863.927;686.859;60.505;605.051;60.505;693.422;727.048;-901.616;269.968;859.155;855.217;805.707;805.707;805.707;903.745;-0.184305;0.38066;192.906;636.325;98.84;736.028;-159.393;128.213;718.471;0;0;736.141;-286.387;125.456;-0.401474;0.0704897;-0.432434;-378.905;-3,83E-12;-751.188;0;0;0.0281179;0;0;377.599;377.599;149.617;561.812;121.161;-334.164;-0.588524;-69.548;181.511;673.042;483.786;434.691;434.691;434.691;136.991;23.311;-485.255;163.074;175.975;-685.735;280.596;322.263;429.351;146.38;110.268;122.313;128.656;511.951;107.037;186.214;186.214;186.214;138.231;572.67;837.996;178.333;549.576;648.669;148.995;554.281;129.032;166.087;613.025;935.768;-103.39;-220.105;-187.368;-103.408;-0.941512;-190.281;209.28;693.303;444.022;208.95;698.68;941.113;257.034;678.608;463.091;194.465;645.815;49.44;0.233214;145.429;0.235522;605.554;172.358;0.396412;309.916;858.871;854.858;177.625;482.611;857.978;141.744;458.643;111.059;208.874;476.452;124.341;192.99;439.164;663.989;356.961;-168.223;22.91;127.325;199.183;-286.295;356.933;-168.559;228.775;0.00631596;-0.207355;191.804;327.109;-190.601;-607.264;0;0;0.108009;136.991;23.311;-485.255;137.041;233.326;-484.992;-0.845524;-0.0759536;0.990635;-259.276;77.969;-662.681;0;0;-191.345;124.842;553.274;791.001;903.745;0.184305;-0.38066;624.992;125.716;237.721;183.41;632.399;905.781;377.307;377.307;377.307;166.575;594.033;103.086;235.41;610.154;101.753;190.976;677.476;496.713;0.0973894;130.533;-231.449;146.38;110.268;122.313;108.419;454.871;120.643;620.712;620.712;620.712
